"titulo","autor","path"
"Todo Sherlock Holmes","Arthur Conan Doyle","Arthur Conan Doyle/Todo Sherlock Holmes (129)"
"BBVA Cambio","BBVA - Open Mind","BBVA - Open Mind/BBVA Cambio (130)"
"Los reyes de la arena (Biblioteca G","George R. R. Martin","George R. R. Martin/Los reyes de la arena (Biblioteca G (115)"
"El loco","Gibran Khalil Gibran","Gibran Khalil Gibran/El loco (116)"
"El socio","Jenaro Prieto","Jenaro Prieto/El socio (123)"
"Historia de un canalla (Spanish Edi","Julia Navarro","Julia Navarro/Historia de un canalla (Spanish Edi (134)"
"Historias de cronopios y de famas _","Julio Cortazar","Julio Cortazar/Historias de cronopios y de famas _ (119)"
"El hombre que calculaba (Spanish Ed","Malba Tahan","Malba Tahan/El hombre que calculaba (Spanish Ed (126)"
"Papelucho","Marcela Paz","Marcela Paz/Papelucho (120)"
"Papelucho y mi hermana Ji","Marcela Paz","Marcela Paz/Papelucho y mi hermana Ji (127)"
"La Llorona","Marcela Serrano","Marcela Serrano/La Llorona (122)"
"Nikola Testa. El genio al que le ro","Margaret Cheney","Margaret Cheney/Nikola Testa. El genio al que le ro (121)"
"Los Borgia","Mario Puzo","Mario Puzo/Los Borgia (114)"
"El sueno del celta","Mario Vargas LLosa","Mario Vargas LLosa/El sueno del celta (118)"
"el aguijon","Milenko Halat","Milenko Halat/el aguijon (124)"
"La Huasca","Milenko","Milenko/La Huasca (131)"
"El Hombre Que Confundio a Su Mujer","Oliver W. Sacks","Oliver W. Sacks/El Hombre Que Confundio a Su Mujer (125)"
"Historia del tiempo_ Del big bang a","Stephen W. Hawking","Stephen W. Hawking/Historia del tiempo_ Del big bang a (117)"
"De animales a dioses","Yuval Noah Harari","Yuval Noah Harari/De animales a dioses (128)"
"Homo Deus","Yuval Noah Harari","Yuval Noah Harari/Homo Deus (132)"
