"libroId","fakeAuthor","fakeTitle","nCapitulos","author","title","idioma"
-1,"Mit The","2012 Online 2013",-1,"BBVA - Open Mind","BBVA Cambio","ES"
-1,"Europa Homo","Sapiens Humanos Pp",-1,"Yuval Noah Harari","De animales a dioses","ES"
-1,"Tourette Korsakov","Tics Reminiscencia Síndrome",-1,"Oliver W. Sacks","El Hombre Que Confundio a Su Mujer","ES"
-1,"Telassim Califa","Vasijas Jeque Dinares",-1,"Malba Tahan","El hombre que calculaba (Spanish Ed","ES"
-1,"Gibran Tristeza","Escudilla Templo Oh",-1,"Gibran Khalil Gibran","El loco","ES"
-1,"Bastías Julián","Coronel Negocios Gringo",-1,"Jenaro Prieto","El socio","ES"
-1,"Amazonia Iquitos","Irlandeses Barbadenses Caucho",-1,"Mario Vargas LLosa","El sueno del celta","ES"
-1,"Jaime Constanza","Madame Respondí Condado",-1,"Julia Navarro","Historia de un canalla (Spanish Edi","ES"
-1,"Newton Hubble","Galaxias Partículas Teoría",-1,"Stephen W. Hawking","Historia del tiempo_ Del big bang a","ES"
-1,"Cóndor Félix","Coaltar Tiranuelo Famas",-1,"Julio Cortazar","Historias de cronopios y de famas _","ES"
-1,"Animals Google","Pp And Humanos",-1,"Yuval Noah Harari","Homo Deus","ES"
-1,"Jarana Huasca","Com Bicicleta Ción",-1,"Milenko","La Huasca","ES"
-1,"Quizá Partí","Niña Nosotras Psiquiátrico",-1,"Marcela Serrano","La Llorona","ES"
-1,"Lucrecia Roma","Papa Esponsales Pontífice",-1,"Mario Puzo","Los Borgia","ES"
-1,"Rakkis Cath","Móviles Anaranjados Reyes",-1,"George R. R. Martin","Los reyes de la arena (Biblioteca G","ES"
-1,"Ibid Westinghouse","Patentes Microfilmada Alterna",-1,"Margaret Cheney","Nikola Testa. El genio al que le ro","ES"
-1,"Mocho Soto","Papá Boche Mamá",-1,"Marcela Paz","Papelucho","ES"
-1,"Tila Jolly","Mamá Tilín Sapos",-1,"Marcela Paz","Papelucho y mi hermana Ji","ES"
-1,"Stapleton Watson","Coronel Aventura Logia",-1,"Arthur Conan Doyle","Todo Sherlock Holmes","ES"
-1,"Espinoza Heliodoro","Teletanasia Carpeta Apartamento",-1,"Milenko Halat","el aguijon","ES"
